X,Y
-122.334133,47.62596
-122.312799,47.615714
-122.463254,47.181856
-122.467498,47.229663
-122.465612,47.231798
-122.434099,47.178646
-122.470623,47.184793
-122.46996,47.184584
-122.317624,47.612533
-122.316799,47.611687
-122.31786,47.70777
-122.164817,47.583801
-122.166607,47.5819
-122.493876,48.774695
-122.488517,48.754613
-122.507745,48.760748
-122.504958,48.759954
-122.490346,48.755605
-122.334133,47.62596
-122.167099,47.623513
-122.185499,47.609555
-122.39023,47.520811
-117.407805,47.6728
-117.381895,47.68244
-117.398199,47.681558
-117.406307,47.6826
-122.19841,47.9792
-122.211399,47.977709
-122.197924,47.978763
-122.199596,47.96991
-122.211352,47.977659
-122.340281,47.723182
-122.340584,47.7234
-122.338111,47.608318
-122.333199,47.594591
-122.337311,47.607512
-122.335579,47.60004
-122.562227,45.6283
-122.373599,47.655499
-122.351107,47.646805
-122.3545,47.648302
-122.376199,47.636004
-122.37621,47.635998
-122.364009,47.658213
-117.435709,47.6545
-117.431853,47.616846
-117.431156,47.615491
-122.316799,47.611687
-122.315579,47.6
-122.312799,47.615714
-122.310897,47.593101
-122.310899,47.5931
-122.315579,47.6
-122.310897,47.593101
-122.310899,47.5931
-122.33418,47.570568
-122.369514,47.5676
-122.352004,47.562126
-122.333199,47.594591
-122.213748,47.997512
-122.196288,48.006659
-122.230999,47.921944
-122.294064,47.662501
-122.297819,47.66137
-122.482542,48.721
-122.317418,47.678865
-122.317407,47.678784
-122.50429,45.61797
-122.51109,45.61794
-122.454799,48.759459
-122.453655,48.760312
-122.333199,47.594591
-122.335579,47.60004
-122.521643,48.786
-117.411199,47.711538
-122.373599,47.655499
-122.379357,47.663143
-122.385416,47.666991
-122.383399,47.658324
-122.366974,47.6637
-122.364009,47.658213
-76.456751,36.816958
-76.439203,36.839616
-76.43924,36.839615
-76.422199,36.8655
-76.420302,36.8654
-76.429287,36.84712
-76.43944,36.8405
-76.424676,36.822943
-117.395299,47.724516
-117.411199,47.711538
-117.381497,47.715
-117.384601,47.718509
-122.369514,47.5676
-122.352004,47.562126
-122.201699,47.634208
-122.164817,47.583801
-122.166607,47.5819
-122.648163,45.623907
-122.3545,47.648302
-122.364009,47.658213
-117.381497,47.715
-122.60281,45.64446
-117.357155,47.6971
-117.370419,47.6935
-117.355218,47.7094
-117.355235,47.7043
-122.35542,47.702301
-122.355452,47.70276
-122.367468,47.239
-122.422037,47.258093
-122.443885,47.259536
-122.406654,47.254834
-122.381399,47.2385
-122.413473,47.252938
-122.394116,47.2432
-122.410544,47.240632
-122.415181,47.240171
-122.230999,47.921944
-122.236871,47.905986
-122.196288,48.006659
-122.14356,47.764771
-122.187866,47.877964
-122.206999,47.905009
-122.208355,47.905292
-122.60281,45.64446
-122.294064,47.662501
-122.297819,47.66137
-122.464999,48.755231
-122.463727,48.747832
-122.50429,45.61797
-122.503568,45.617713
-76.150095,36.70574
-76.23074,36.687031
-122.6832,45.640304
-122.683243,45.641482
-122.683243,45.641482
-122.165018,47.541319
-122.6832,45.640304
-122.464999,48.755231
-122.463727,48.747832
-122.488517,48.754613
-122.477943,48.7558
-122.490346,48.755605
-122.472199,48.753813
-122.443885,47.259536
-122.201699,47.634208
-122.493876,48.774695
-122.518524,48.7709
-122.507745,48.760748
-122.504958,48.759954
-122.355599,47.733338
-122.150199,47.7676
-122.154273,47.765435
-122.154427,47.765726
-122.599253,45.652602
-122.663329,45.665106
-122.249566,47.898949
-122.206999,47.905009
-122.208355,47.905292
-122.236871,47.905986
-122.185499,47.609555
-122.599253,45.652602
-122.197797,47.673691
-122.19778,47.673717
-122.505947,45.59595
-77.09262,38.884784
-77.09256,38.884704
-122.505947,45.59595
-117.370419,47.6935
-117.381895,47.68244
-122.385416,47.666991
-122.383399,47.658324
-122.393474,47.668699
-122.648163,45.623907
-122.19841,47.9792
-122.19095,47.98058
-122.197924,47.978763
-117.435709,47.6545
-117.366734,47.6691
-117.370419,47.6935
-117.343541,47.672012
